Department,Book Name,Author,Publisher,Accession No
Pharmacy,Pharmacy Advanced Book 8288,P. Singh,Oxford,ACC008288
Environmental Science,Environmental Science Advanced Book 8289,P. Singh,Elsevier,ACC008289
Psychology,Psychology Advanced Book 8290,J. Das,Pearson,ACC008290
Education,Education Advanced Book 8291,D. Patel,Oxford,ACC008291
Agriculture,Agriculture Advanced Book 8292,D. Patel,McGraw Hill,ACC008292
Architecture,Architecture Advanced Book 8293,P. Singh,Wiley,ACC008293
Biotechnology,Biotechnology Advanced Book 8294,R. Kumar,McGraw Hill,ACC008294
Management,Management Advanced Book 8295,D. Patel,Wiley,ACC008295
Electronics,Electronics Advanced Book 8296,J. Das,McGraw Hill,ACC008296
Pharmacy,Pharmacy Advanced Book 8297,S. Sharma,Cambridge,ACC008297
History,History Advanced Book 8298,R. Kumar,Pearson,ACC008298
Law,Law Advanced Book 8299,S. Sharma,Cambridge,ACC008299
Hindi,Hindi Advanced Book 8300,A. Iyer,Springer,ACC008300
Chemical Engineering,Chemical Engineering Advanced Book 8301,V. Rao,Cambridge,ACC008301
Tamil,Tamil Advanced Book 8302,S. Sharma,Springer,ACC008302
Agriculture,Agriculture Advanced Book 8303,P. Singh,Cambridge,ACC008303
Education,Education Advanced Book 8304,S. Sharma,Oxford,ACC008304
Electronics,Electronics Advanced Book 8305,V. Rao,Cambridge,ACC008305
Civil Engineering,Civil Engineering Advanced Book 8306,V. Rao,McGraw Hill,ACC008306
English,English Advanced Book 8307,V. Rao,Cambridge,ACC008307
Hindi,Hindi Advanced Book 8308,J. Das,Cambridge,ACC008308
Data Science,Data Science Advanced Book 8309,M. Khan,Elsevier,ACC008309
Data Science,Data Science Advanced Book 8310,J. Das,Cambridge,ACC008310
Physics,Physics Advanced Book 8311,P. Singh,McGraw Hill,ACC008311
Biotechnology,Biotechnology Advanced Book 8312,P. Singh,Pearson,ACC008312
Sociology,Sociology Advanced Book 8313,R. Kumar,Elsevier,ACC008313
Education,Education Advanced Book 8314,D. Patel,Pearson,ACC008314
Physics,Physics Advanced Book 8315,V. Rao,Wiley,ACC008315
Commerce,Commerce Advanced Book 8316,A. Iyer,Wiley,ACC008316
Education,Education Advanced Book 8317,P. Singh,Springer,ACC008317
Hindi,Hindi Advanced Book 8318,D. Patel,Cambridge,ACC008318
Chemistry,Chemistry Advanced Book 8319,V. Rao,Springer,ACC008319
Mathematics,Mathematics Advanced Book 8320,M. Khan,McGraw Hill,ACC008320
Information Technology,Information Technology Advanced Book 8321,J. Das,McGraw Hill,ACC008321
Chemistry,Chemistry Advanced Book 8322,A. Iyer,Elsevier,ACC008322
Information Technology,Information Technology Advanced Book 8323,A. Iyer,Elsevier,ACC008323
Nursing,Nursing Advanced Book 8324,R. Kumar,Elsevier,ACC008324
Chemical Engineering,Chemical Engineering Advanced Book 8325,V. Rao,Springer,ACC008325
English,English Advanced Book 8326,A. Iyer,Cambridge,ACC008326
Electronics,Electronics Advanced Book 8327,J. Das,Oxford,ACC008327
Computer Science,Computer Science Advanced Book 8328,S. Sharma,Oxford,ACC008328
Agriculture,Agriculture Advanced Book 8329,M. Khan,Pearson,ACC008329
Pharmacy,Pharmacy Advanced Book 8330,D. Patel,Elsevier,ACC008330
Electronics,Electronics Advanced Book 8331,D. Patel,Oxford,ACC008331
Agriculture,Agriculture Advanced Book 8332,A. Iyer,Pearson,ACC008332
Agriculture,Agriculture Advanced Book 8333,A. Iyer,Elsevier,ACC008333
Artificial Intelligence,Artificial Intelligence Advanced Book 8334,S. Sharma,Oxford,ACC008334
Economics,Economics Advanced Book 8335,S. Sharma,Cambridge,ACC008335
Electrical Engineering,Electrical Engineering Advanced Book 8336,M. Khan,McGraw Hill,ACC008336
Agriculture,Agriculture Advanced Book 8337,V. Rao,Oxford,ACC008337
Philosophy,Philosophy Advanced Book 8338,S. Sharma,McGraw Hill,ACC008338
Computer Science,Computer Science Advanced Book 8339,A. Iyer,Wiley,ACC008339
Information Technology,Information Technology Advanced Book 8340,A. Iyer,Oxford,ACC008340
Architecture,Architecture Advanced Book 8341,A. Iyer,Oxford,ACC008341
Mechanical Engineering,Mechanical Engineering Advanced Book 8342,A. Iyer,Oxford,ACC008342
History,History Advanced Book 8343,M. Khan,Oxford,ACC008343
Information Technology,Information Technology Advanced Book 8344,M. Khan,Pearson,ACC008344
Philosophy,Philosophy Advanced Book 8345,M. Khan,Oxford,ACC008345
Management,Management Advanced Book 8346,V. Rao,Elsevier,ACC008346
Philosophy,Philosophy Advanced Book 8347,P. Singh,Elsevier,ACC008347
Hindi,Hindi Advanced Book 8348,R. Kumar,Cambridge,ACC008348
Mechanical Engineering,Mechanical Engineering Advanced Book 8349,M. Khan,Cambridge,ACC008349
Nursing,Nursing Advanced Book 8350,R. Kumar,Pearson,ACC008350
Mechanical Engineering,Mechanical Engineering Advanced Book 8351,A. Iyer,McGraw Hill,ACC008351
Education,Education Advanced Book 8352,V. Rao,Wiley,ACC008352
Political Science,Political Science Advanced Book 8353,J. Das,Elsevier,ACC008353
Mechanical Engineering,Mechanical Engineering Advanced Book 8354,M. Khan,Cambridge,ACC008354
Sociology,Sociology Advanced Book 8355,D. Patel,Springer,ACC008355
Electronics,Electronics Advanced Book 8356,R. Kumar,McGraw Hill,ACC008356
Chemical Engineering,Chemical Engineering Advanced Book 8357,M. Khan,Springer,ACC008357
English,English Advanced Book 8358,M. Khan,Oxford,ACC008358
Pharmacy,Pharmacy Advanced Book 8359,P. Singh,Springer,ACC008359
Commerce,Commerce Advanced Book 8360,D. Patel,Cambridge,ACC008360
Law,Law Advanced Book 8361,P. Singh,Pearson,ACC008361
Commerce,Commerce Advanced Book 8362,J. Das,Oxford,ACC008362
Hindi,Hindi Advanced Book 8363,D. Patel,Elsevier,ACC008363
Economics,Economics Advanced Book 8364,S. Sharma,Pearson,ACC008364
Biotechnology,Biotechnology Advanced Book 8365,A. Iyer,Wiley,ACC008365
Artificial Intelligence,Artificial Intelligence Advanced Book 8366,S. Sharma,Oxford,ACC008366
Civil Engineering,Civil Engineering Advanced Book 8367,R. Kumar,Oxford,ACC008367
Philosophy,Philosophy Advanced Book 8368,V. Rao,Wiley,ACC008368
Tamil,Tamil Advanced Book 8369,V. Rao,Pearson,ACC008369
Environmental Science,Environmental Science Advanced Book 8370,S. Sharma,Pearson,ACC008370
Commerce,Commerce Advanced Book 8371,P. Singh,Wiley,ACC008371
Mechanical Engineering,Mechanical Engineering Advanced Book 8372,S. Sharma,Elsevier,ACC008372
Pharmacy,Pharmacy Advanced Book 8373,A. Iyer,McGraw Hill,ACC008373
Psychology,Psychology Advanced Book 8374,A. Iyer,Pearson,ACC008374
Agriculture,Agriculture Advanced Book 8375,J. Das,Wiley,ACC008375
Artificial Intelligence,Artificial Intelligence Advanced Book 8376,P. Singh,Elsevier,ACC008376
History,History Advanced Book 8377,S. Sharma,Cambridge,ACC008377
Political Science,Political Science Advanced Book 8378,J. Das,Elsevier,ACC008378
Architecture,Architecture Advanced Book 8379,D. Patel,McGraw Hill,ACC008379
Biotechnology,Biotechnology Advanced Book 8380,R. Kumar,McGraw Hill,ACC008380
Education,Education Advanced Book 8381,P. Singh,Cambridge,ACC008381
Electrical Engineering,Electrical Engineering Advanced Book 8382,R. Kumar,Cambridge,ACC008382
Psychology,Psychology Advanced Book 8383,R. Kumar,Oxford,ACC008383
Hindi,Hindi Advanced Book 8384,J. Das,Oxford,ACC008384
Civil Engineering,Civil Engineering Advanced Book 8385,V. Rao,Oxford,ACC008385
Chemistry,Chemistry Advanced Book 8386,J. Das,Oxford,ACC008386
Artificial Intelligence,Artificial Intelligence Advanced Book 8387,A. Iyer,Springer,ACC008387
Civil Engineering,Civil Engineering Advanced Book 8388,R. Kumar,Elsevier,ACC008388
Physics,Physics Advanced Book 8389,V. Rao,Wiley,ACC008389
Electrical Engineering,Electrical Engineering Advanced Book 8390,V. Rao,McGraw Hill,ACC008390
Information Technology,Information Technology Advanced Book 8391,D. Patel,Pearson,ACC008391
Tamil,Tamil Advanced Book 8392,V. Rao,Cambridge,ACC008392
Chemical Engineering,Chemical Engineering Advanced Book 8393,A. Iyer,Pearson,ACC008393
Political Science,Political Science Advanced Book 8394,J. Das,Cambridge,ACC008394
Philosophy,Philosophy Advanced Book 8395,S. Sharma,Elsevier,ACC008395
Economics,Economics Advanced Book 8396,R. Kumar,McGraw Hill,ACC008396
Economics,Economics Advanced Book 8397,D. Patel,Oxford,ACC008397
Philosophy,Philosophy Advanced Book 8398,A. Iyer,Elsevier,ACC008398
Civil Engineering,Civil Engineering Advanced Book 8399,V. Rao,McGraw Hill,ACC008399
Sociology,Sociology Advanced Book 8400,A. Iyer,Wiley,ACC008400
Management,Management Advanced Book 8401,J. Das,Wiley,ACC008401
Psychology,Psychology Advanced Book 8402,M. Khan,Wiley,ACC008402
Artificial Intelligence,Artificial Intelligence Advanced Book 8403,S. Sharma,Pearson,ACC008403
Biotechnology,Biotechnology Advanced Book 8404,M. Khan,Springer,ACC008404
History,History Advanced Book 8405,V. Rao,Oxford,ACC008405
Management,Management Advanced Book 8406,V. Rao,Elsevier,ACC008406
Architecture,Architecture Advanced Book 8407,D. Patel,Cambridge,ACC008407
Psychology,Psychology Advanced Book 8408,A. Iyer,Wiley,ACC008408
Political Science,Political Science Advanced Book 8409,J. Das,Springer,ACC008409
Mathematics,Mathematics Advanced Book 8410,D. Patel,Wiley,ACC008410
Economics,Economics Advanced Book 8411,V. Rao,Oxford,ACC008411
Education,Education Advanced Book 8412,S. Sharma,Oxford,ACC008412
Mechanical Engineering,Mechanical Engineering Advanced Book 8413,V. Rao,Oxford,ACC008413
Data Science,Data Science Advanced Book 8414,A. Iyer,Cambridge,ACC008414
History,History Advanced Book 8415,A. Iyer,Wiley,ACC008415
Physics,Physics Advanced Book 8416,S. Sharma,Elsevier,ACC008416
Mechanical Engineering,Mechanical Engineering Advanced Book 8417,S. Sharma,Cambridge,ACC008417
Political Science,Political Science Advanced Book 8418,J. Das,Springer,ACC008418
Economics,Economics Advanced Book 8419,M. Khan,Elsevier,ACC008419
English,English Advanced Book 8420,A. Iyer,Elsevier,ACC008420
Hindi,Hindi Advanced Book 8421,R. Kumar,Oxford,ACC008421
Education,Education Advanced Book 8422,M. Khan,Cambridge,ACC008422
Sociology,Sociology Advanced Book 8423,D. Patel,McGraw Hill,ACC008423
Nursing,Nursing Advanced Book 8424,R. Kumar,McGraw Hill,ACC008424
History,History Advanced Book 8425,A. Iyer,Elsevier,ACC008425
Sociology,Sociology Advanced Book 8426,S. Sharma,Elsevier,ACC008426
Agriculture,Agriculture Advanced Book 8427,A. Iyer,McGraw Hill,ACC008427
Electronics,Electronics Advanced Book 8428,A. Iyer,Pearson,ACC008428
History,History Advanced Book 8429,M. Khan,Oxford,ACC008429
Hindi,Hindi Advanced Book 8430,P. Singh,Oxford,ACC008430
Political Science,Political Science Advanced Book 8431,J. Das,Pearson,ACC008431
Psychology,Psychology Advanced Book 8432,D. Patel,Oxford,ACC008432
Computer Science,Computer Science Advanced Book 8433,M. Khan,Wiley,ACC008433
Chemical Engineering,Chemical Engineering Advanced Book 8434,M. Khan,Wiley,ACC008434
Education,Education Advanced Book 8435,V. Rao,Oxford,ACC008435
Hindi,Hindi Advanced Book 8436,M. Khan,Cambridge,ACC008436
Political Science,Political Science Advanced Book 8437,V. Rao,Cambridge,ACC008437
Law,Law Advanced Book 8438,D. Patel,Oxford,ACC008438
History,History Advanced Book 8439,A. Iyer,Pearson,ACC008439
Information Technology,Information Technology Advanced Book 8440,M. Khan,Wiley,ACC008440
Biotechnology,Biotechnology Advanced Book 8441,S. Sharma,Cambridge,ACC008441
Biotechnology,Biotechnology Advanced Book 8442,P. Singh,Oxford,ACC008442
English,English Advanced Book 8443,J. Das,Elsevier,ACC008443
Education,Education Advanced Book 8444,D. Patel,Oxford,ACC008444
Philosophy,Philosophy Advanced Book 8445,D. Patel,Cambridge,ACC008445
Nursing,Nursing Advanced Book 8446,D. Patel,Springer,ACC008446
Sociology,Sociology Advanced Book 8447,M. Khan,Cambridge,ACC008447
Biotechnology,Biotechnology Advanced Book 8448,S. Sharma,Elsevier,ACC008448
Electrical Engineering,Electrical Engineering Advanced Book 8449,S. Sharma,Oxford,ACC008449
Pharmacy,Pharmacy Advanced Book 8450,S. Sharma,Elsevier,ACC008450
Psychology,Psychology Advanced Book 8451,D. Patel,Pearson,ACC008451
Sociology,Sociology Advanced Book 8452,R. Kumar,Springer,ACC008452
Environmental Science,Environmental Science Advanced Book 8453,S. Sharma,Oxford,ACC008453
Economics,Economics Advanced Book 8454,J. Das,McGraw Hill,ACC008454
Sociology,Sociology Advanced Book 8455,S. Sharma,Springer,ACC008455
History,History Advanced Book 8456,M. Khan,Cambridge,ACC008456
Information Technology,Information Technology Advanced Book 8457,V. Rao,Elsevier,ACC008457
Economics,Economics Advanced Book 8458,V. Rao,Wiley,ACC008458
History,History Advanced Book 8459,S. Sharma,Cambridge,ACC008459
Biotechnology,Biotechnology Advanced Book 8460,J. Das,Elsevier,ACC008460
Education,Education Advanced Book 8461,P. Singh,Wiley,ACC008461
Information Technology,Information Technology Advanced Book 8462,V. Rao,Springer,ACC008462
Economics,Economics Advanced Book 8463,J. Das,Wiley,ACC008463
Electrical Engineering,Electrical Engineering Advanced Book 8464,A. Iyer,Elsevier,ACC008464
Chemical Engineering,Chemical Engineering Advanced Book 8465,D. Patel,Springer,ACC008465
Civil Engineering,Civil Engineering Advanced Book 8466,J. Das,Pearson,ACC008466
Political Science,Political Science Advanced Book 8467,A. Iyer,Oxford,ACC008467
Data Science,Data Science Advanced Book 8468,P. Singh,Cambridge,ACC008468
Computer Science,Computer Science Advanced Book 8469,A. Iyer,Elsevier,ACC008469
Artificial Intelligence,Artificial Intelligence Advanced Book 8470,P. Singh,McGraw Hill,ACC008470
Physics,Physics Advanced Book 8471,P. Singh,Elsevier,ACC008471
History,History Advanced Book 8472,D. Patel,McGraw Hill,ACC008472
Psychology,Psychology Advanced Book 8473,J. Das,McGraw Hill,ACC008473
Architecture,Architecture Advanced Book 8474,S. Sharma,Wiley,ACC008474
Nursing,Nursing Advanced Book 8475,J. Das,Cambridge,ACC008475
Information Technology,Information Technology Advanced Book 8476,A. Iyer,Wiley,ACC008476
Civil Engineering,Civil Engineering Advanced Book 8477,R. Kumar,Oxford,ACC008477
Environmental Science,Environmental Science Advanced Book 8478,D. Patel,Elsevier,ACC008478
Nursing,Nursing Advanced Book 8479,S. Sharma,Oxford,ACC008479
Electronics,Electronics Advanced Book 8480,R. Kumar,Cambridge,ACC008480
Sociology,Sociology Advanced Book 8481,D. Patel,McGraw Hill,ACC008481
Computer Science,Computer Science Advanced Book 8482,P. Singh,Oxford,ACC008482
Nursing,Nursing Advanced Book 8483,R. Kumar,Elsevier,ACC008483
Artificial Intelligence,Artificial Intelligence Advanced Book 8484,M. Khan,Wiley,ACC008484
Artificial Intelligence,Artificial Intelligence Advanced Book 8485,M. Khan,Cambridge,ACC008485
Biotechnology,Biotechnology Advanced Book 8486,V. Rao,McGraw Hill,ACC008486
Artificial Intelligence,Artificial Intelligence Advanced Book 8487,D. Patel,Elsevier,ACC008487
Information Technology,Information Technology Advanced Book 8488,S. Sharma,Pearson,ACC008488
Mathematics,Mathematics Advanced Book 8489,M. Khan,Elsevier,ACC008489
Mathematics,Mathematics Advanced Book 8490,D. Patel,McGraw Hill,ACC008490
Sociology,Sociology Advanced Book 8491,A. Iyer,Cambridge,ACC008491
Data Science,Data Science Advanced Book 8492,A. Iyer,Wiley,ACC008492
Psychology,Psychology Advanced Book 8493,V. Rao,Pearson,ACC008493
Environmental Science,Environmental Science Advanced Book 8494,V. Rao,McGraw Hill,ACC008494
Political Science,Political Science Advanced Book 8495,R. Kumar,Springer,ACC008495
Political Science,Political Science Advanced Book 8496,J. Das,Pearson,ACC008496
Data Science,Data Science Advanced Book 8497,V. Rao,Elsevier,ACC008497
Physics,Physics Advanced Book 8498,M. Khan,McGraw Hill,ACC008498
Mathematics,Mathematics Advanced Book 8499,A. Iyer,Oxford,ACC008499
Pharmacy,Pharmacy Advanced Book 8500,A. Iyer,Springer,ACC008500
Hindi,Hindi Advanced Book 8501,P. Singh,Pearson,ACC008501
Agriculture,Agriculture Advanced Book 8502,S. Sharma,Oxford,ACC008502
Agriculture,Agriculture Advanced Book 8503,R. Kumar,Wiley,ACC008503
Mechanical Engineering,Mechanical Engineering Advanced Book 8504,R. Kumar,Pearson,ACC008504
Electronics,Electronics Advanced Book 8505,V. Rao,Pearson,ACC008505
Economics,Economics Advanced Book 8506,D. Patel,Oxford,ACC008506
English,English Advanced Book 8507,S. Sharma,Springer,ACC008507
Psychology,Psychology Advanced Book 8508,P. Singh,McGraw Hill,ACC008508
Commerce,Commerce Advanced Book 8509,D. Patel,Oxford,ACC008509
Agriculture,Agriculture Advanced Book 8510,R. Kumar,Elsevier,ACC008510
Architecture,Architecture Advanced Book 8511,D. Patel,Springer,ACC008511
Architecture,Architecture Advanced Book 8512,D. Patel,Cambridge,ACC008512
Pharmacy,Pharmacy Advanced Book 8513,S. Sharma,Wiley,ACC008513
Data Science,Data Science Advanced Book 8514,R. Kumar,Oxford,ACC008514
Environmental Science,Environmental Science Advanced Book 8515,S. Sharma,Wiley,ACC008515
Computer Science,Computer Science Advanced Book 8516,D. Patel,Springer,ACC008516
Architecture,Architecture Advanced Book 8517,S. Sharma,Pearson,ACC008517
English,English Advanced Book 8518,J. Das,Cambridge,ACC008518
Commerce,Commerce Advanced Book 8519,R. Kumar,Wiley,ACC008519
Architecture,Architecture Advanced Book 8520,M. Khan,Oxford,ACC008520
Hindi,Hindi Advanced Book 8521,A. Iyer,Springer,ACC008521
Sociology,Sociology Advanced Book 8522,D. Patel,Pearson,ACC008522
Economics,Economics Advanced Book 8523,R. Kumar,McGraw Hill,ACC008523
History,History Advanced Book 8524,M. Khan,Cambridge,ACC008524
Biotechnology,Biotechnology Advanced Book 8525,D. Patel,Oxford,ACC008525
Information Technology,Information Technology Advanced Book 8526,D. Patel,Wiley,ACC008526
Data Science,Data Science Advanced Book 8527,R. Kumar,Cambridge,ACC008527
Artificial Intelligence,Artificial Intelligence Advanced Book 8528,V. Rao,Elsevier,ACC008528
Architecture,Architecture Advanced Book 8529,J. Das,Oxford,ACC008529
Agriculture,Agriculture Advanced Book 8530,M. Khan,Cambridge,ACC008530
Nursing,Nursing Advanced Book 8531,P. Singh,Wiley,ACC008531
Electronics,Electronics Advanced Book 8532,J. Das,Pearson,ACC008532
Information Technology,Information Technology Advanced Book 8533,R. Kumar,Springer,ACC008533
Pharmacy,Pharmacy Advanced Book 8534,A. Iyer,Springer,ACC008534
Environmental Science,Environmental Science Advanced Book 8535,A. Iyer,Elsevier,ACC008535
Economics,Economics Advanced Book 8536,D. Patel,Springer,ACC008536
Hindi,Hindi Advanced Book 8537,D. Patel,Wiley,ACC008537
Agriculture,Agriculture Advanced Book 8538,S. Sharma,Elsevier,ACC008538
Political Science,Political Science Advanced Book 8539,V. Rao,McGraw Hill,ACC008539
History,History Advanced Book 8540,S. Sharma,Oxford,ACC008540
Pharmacy,Pharmacy Advanced Book 8541,M. Khan,Elsevier,ACC008541
Chemical Engineering,Chemical Engineering Advanced Book 8542,S. Sharma,Oxford,ACC008542
Philosophy,Philosophy Advanced Book 8543,V. Rao,Elsevier,ACC008543
Pharmacy,Pharmacy Advanced Book 8544,M. Khan,Cambridge,ACC008544
Environmental Science,Environmental Science Advanced Book 8545,S. Sharma,McGraw Hill,ACC008545
Chemistry,Chemistry Advanced Book 8546,A. Iyer,Elsevier,ACC008546
Architecture,Architecture Advanced Book 8547,P. Singh,McGraw Hill,ACC008547
Nursing,Nursing Advanced Book 8548,P. Singh,Oxford,ACC008548
Education,Education Advanced Book 8549,D. Patel,Elsevier,ACC008549
English,English Advanced Book 8550,V. Rao,Cambridge,ACC008550
Computer Science,Computer Science Advanced Book 8551,R. Kumar,Oxford,ACC008551
Commerce,Commerce Advanced Book 8552,A. Iyer,Elsevier,ACC008552
Commerce,Commerce Advanced Book 8553,S. Sharma,Wiley,ACC008553
Data Science,Data Science Advanced Book 8554,P. Singh,Elsevier,ACC008554
Computer Science,Computer Science Advanced Book 8555,S. Sharma,Springer,ACC008555
Hindi,Hindi Advanced Book 8556,S. Sharma,Oxford,ACC008556
Commerce,Commerce Advanced Book 8557,R. Kumar,Elsevier,ACC008557
Management,Management Advanced Book 8558,P. Singh,Springer,ACC008558
Environmental Science,Environmental Science Advanced Book 8559,V. Rao,Pearson,ACC008559
Agriculture,Agriculture Advanced Book 8560,R. Kumar,McGraw Hill,ACC008560
Civil Engineering,Civil Engineering Advanced Book 8561,S. Sharma,Cambridge,ACC008561
Psychology,Psychology Advanced Book 8562,V. Rao,Springer,ACC008562
Computer Science,Computer Science Advanced Book 8563,R. Kumar,Pearson,ACC008563
English,English Advanced Book 8564,M. Khan,Wiley,ACC008564
Mechanical Engineering,Mechanical Engineering Advanced Book 8565,D. Patel,Wiley,ACC008565
Architecture,Architecture Advanced Book 8566,D. Patel,Wiley,ACC008566
Tamil,Tamil Advanced Book 8567,R. Kumar,Cambridge,ACC008567
Psychology,Psychology Advanced Book 8568,P. Singh,Elsevier,ACC008568
Agriculture,Agriculture Advanced Book 8569,D. Patel,Wiley,ACC008569
Architecture,Architecture Advanced Book 8570,A. Iyer,Wiley,ACC008570
Hindi,Hindi Advanced Book 8571,M. Khan,Elsevier,ACC008571
Philosophy,Philosophy Advanced Book 8572,D. Patel,Springer,ACC008572
Economics,Economics Advanced Book 8573,S. Sharma,Cambridge,ACC008573
Law,Law Advanced Book 8574,M. Khan,McGraw Hill,ACC008574
Biotechnology,Biotechnology Advanced Book 8575,S. Sharma,Cambridge,ACC008575
Economics,Economics Advanced Book 8576,S. Sharma,McGraw Hill,ACC008576
Physics,Physics Advanced Book 8577,A. Iyer,Springer,ACC008577
Education,Education Advanced Book 8578,D. Patel,Pearson,ACC008578
Philosophy,Philosophy Advanced Book 8579,S. Sharma,Cambridge,ACC008579
Computer Science,Computer Science Advanced Book 8580,S. Sharma,Wiley,ACC008580
Hindi,Hindi Advanced Book 8581,D. Patel,Elsevier,ACC008581
Chemical Engineering,Chemical Engineering Advanced Book 8582,A. Iyer,Springer,ACC008582
Architecture,Architecture Advanced Book 8583,P. Singh,Wiley,ACC008583
Chemical Engineering,Chemical Engineering Advanced Book 8584,M. Khan,Pearson,ACC008584
Information Technology,Information Technology Advanced Book 8585,M. Khan,Pearson,ACC008585
Computer Science,Computer Science Advanced Book 8586,J. Das,Cambridge,ACC008586
Mechanical Engineering,Mechanical Engineering Advanced Book 8587,A. Iyer,Springer,ACC008587
Architecture,Architecture Advanced Book 8588,J. Das,Oxford,ACC008588
Biotechnology,Biotechnology Advanced Book 8589,R. Kumar,Cambridge,ACC008589
Agriculture,Agriculture Advanced Book 8590,M. Khan,Pearson,ACC008590
Mathematics,Mathematics Advanced Book 8591,V. Rao,Wiley,ACC008591
Environmental Science,Environmental Science Advanced Book 8592,V. Rao,McGraw Hill,ACC008592
Economics,Economics Advanced Book 8593,A. Iyer,Pearson,ACC008593
Political Science,Political Science Advanced Book 8594,V. Rao,Springer,ACC008594
Tamil,Tamil Advanced Book 8595,S. Sharma,McGraw Hill,ACC008595
Philosophy,Philosophy Advanced Book 8596,P. Singh,McGraw Hill,ACC008596
Chemical Engineering,Chemical Engineering Advanced Book 8597,S. Sharma,Pearson,ACC008597
Commerce,Commerce Advanced Book 8598,V. Rao,Springer,ACC008598
Agriculture,Agriculture Advanced Book 8599,J. Das,Springer,ACC008599
Chemical Engineering,Chemical Engineering Advanced Book 8600,M. Khan,McGraw Hill,ACC008600
Sociology,Sociology Advanced Book 8601,P. Singh,Oxford,ACC008601
Political Science,Political Science Advanced Book 8602,V. Rao,Pearson,ACC008602
Chemistry,Chemistry Advanced Book 8603,V. Rao,Springer,ACC008603
Civil Engineering,Civil Engineering Advanced Book 8604,R. Kumar,Oxford,ACC008604
Civil Engineering,Civil Engineering Advanced Book 8605,S. Sharma,Springer,ACC008605
Architecture,Architecture Advanced Book 8606,D. Patel,Springer,ACC008606
Electronics,Electronics Advanced Book 8607,V. Rao,Elsevier,ACC008607
Education,Education Advanced Book 8608,A. Iyer,Cambridge,ACC008608
Commerce,Commerce Advanced Book 8609,V. Rao,Wiley,ACC008609
Political Science,Political Science Advanced Book 8610,V. Rao,McGraw Hill,ACC008610
Information Technology,Information Technology Advanced Book 8611,V. Rao,Springer,ACC008611
Psychology,Psychology Advanced Book 8612,S. Sharma,Wiley,ACC008612
Commerce,Commerce Advanced Book 8613,P. Singh,Pearson,ACC008613
Mathematics,Mathematics Advanced Book 8614,R. Kumar,Springer,ACC008614
Economics,Economics Advanced Book 8615,P. Singh,Springer,ACC008615
Architecture,Architecture Advanced Book 8616,S. Sharma,Cambridge,ACC008616
Artificial Intelligence,Artificial Intelligence Advanced Book 8617,M. Khan,Cambridge,ACC008617
Civil Engineering,Civil Engineering Advanced Book 8618,V. Rao,Springer,ACC008618
English,English Advanced Book 8619,M. Khan,Elsevier,ACC008619
Mathematics,Mathematics Advanced Book 8620,J. Das,McGraw Hill,ACC008620
Information Technology,Information Technology Advanced Book 8621,D. Patel,Wiley,ACC008621
Sociology,Sociology Advanced Book 8622,R. Kumar,Springer,ACC008622
Mechanical Engineering,Mechanical Engineering Advanced Book 8623,V. Rao,Wiley,ACC008623
Agriculture,Agriculture Advanced Book 8624,P. Singh,Springer,ACC008624
Biotechnology,Biotechnology Advanced Book 8625,M. Khan,Wiley,ACC008625
Economics,Economics Advanced Book 8626,S. Sharma,Pearson,ACC008626
Mathematics,Mathematics Advanced Book 8627,M. Khan,Springer,ACC008627
Artificial Intelligence,Artificial Intelligence Advanced Book 8628,S. Sharma,Pearson,ACC008628
History,History Advanced Book 8629,J. Das,Cambridge,ACC008629
Education,Education Advanced Book 8630,V. Rao,Elsevier,ACC008630
Economics,Economics Advanced Book 8631,S. Sharma,McGraw Hill,ACC008631
Agriculture,Agriculture Advanced Book 8632,A. Iyer,McGraw Hill,ACC008632
History,History Advanced Book 8633,M. Khan,Elsevier,ACC008633
Sociology,Sociology Advanced Book 8634,M. Khan,Pearson,ACC008634
Environmental Science,Environmental Science Advanced Book 8635,S. Sharma,Cambridge,ACC008635
Chemistry,Chemistry Advanced Book 8636,D. Patel,Oxford,ACC008636
Artificial Intelligence,Artificial Intelligence Advanced Book 8637,P. Singh,Elsevier,ACC008637
Education,Education Advanced Book 8638,S. Sharma,Elsevier,ACC008638
Computer Science,Computer Science Advanced Book 8639,D. Patel,Cambridge,ACC008639
Sociology,Sociology Advanced Book 8640,V. Rao,Wiley,ACC008640
Physics,Physics Advanced Book 8641,D. Patel,Pearson,ACC008641
History,History Advanced Book 8642,R. Kumar,Wiley,ACC008642
Pharmacy,Pharmacy Advanced Book 8643,R. Kumar,Pearson,ACC008643
English,English Advanced Book 8644,R. Kumar,Oxford,ACC008644
Political Science,Political Science Advanced Book 8645,D. Patel,McGraw Hill,ACC008645
Education,Education Advanced Book 8646,A. Iyer,Oxford,ACC008646
Sociology,Sociology Advanced Book 8647,A. Iyer,Wiley,ACC008647
Artificial Intelligence,Artificial Intelligence Advanced Book 8648,V. Rao,Elsevier,ACC008648
Economics,Economics Advanced Book 8649,V. Rao,Wiley,ACC008649
Physics,Physics Advanced Book 8650,P. Singh,Oxford,ACC008650
Nursing,Nursing Advanced Book 8651,A. Iyer,Elsevier,ACC008651
Education,Education Advanced Book 8652,S. Sharma,Oxford,ACC008652
Commerce,Commerce Advanced Book 8653,R. Kumar,Elsevier,ACC008653
English,English Advanced Book 8654,S. Sharma,Oxford,ACC008654
Education,Education Advanced Book 8655,P. Singh,Pearson,ACC008655
